不,,,(negative prefix) / not / no,bu2
的,,,of / ~'s (possessive particle) / (used after an attribute) / (used to form a nominal expression) /(used at the end of a declarative sentence for emphasis),de
都,,,all / both / entirely / (used for emphasis) even / already / (not) at all,dou1
个,個,,individual / this / that / size / classifier for people or objects in general,ge4
还是,還是,,or / still / nevertheless,hai2 shi4
和,,,"and / together with / with / sum / union / peace / harmony/ Taiwan pr. [han4] when it means ""and"" or ""with""",he2
候,,,to wait / to inquire after / to watch / season / climate / (old) period of five days,hou4
吗,嗎,,"(question particle for ""yes-no"" questions)",ma5
么,麼,,"suffix, used to form interrogative 甚麼|什么[shen2 me5], what?, indefinite 這麼|这么[zhe4 me5] thus, etc",me5
没,沒,,(negative prefix for verbs) / have not / not,mei2
哪里,哪裡,,where? / somewhere / anywhere / wherever / nowhere / (negative answer to question) / humble expression denying compliment,na3 li3
哪儿,哪兒,,where? / wherever / anywhere,na3 r
呢,,,"particle indicating that a previously asked question is to be applied to the preceding word (""What about ...?"", ""And ...?"")/particle for inquiring about location (""Where is ...?"")/particle signaling a pause, to emphasize the preceding words and allow the listener time to take them on board (""ok?"", ""are you with me?"")/(at the end of a declarative sentence) particle indicating continuation of a state or action/particle indicating strong affirmation",ne5
谁,誰,,who / also pr. [shui2],shei2
什么,什麼,,what? / who? / something / anything,shen2 me
什么时候,甚麼時候,,when? / at what time?,shen2 me shi2 hou
时,時,,o'clock / time / when / hour / season / period,shi2
岁,,,classifier for years (of age) / year / year (of crop harvests),sui4
为,為,,because of / for / to,wei4
为什么,為什麼,,why? / for what reason?,wei4 shen2 me
也,,,also / too / (in Classical Chinese) final particle implying affirmation,ye3
有,,,to have / there is / there are / to exist / to be,you3
在,,,(located) at / (to be) in / to exist / in the middle of doing sth / (indicating an action in progress),zai4
怎,,,how,zen3
怎么,怎麼,,how? / what? / why?,zen3 me
